epitope	gene	freq
S2	IGHV3-21	0.017937219730941704
S2	IGHV3-23	0.043721973094170405
S2	IGHV3-30	0.2556053811659193
S2	IGHV3-30-3	0.12331838565022421
S2	IGHV3-33	0.03699551569506727
S2	IGHV3-4	0.0011210762331838565
S2	IGHV3-43	0.0
S2	IGHV3-48	0.007847533632286996
S2	IGHV3-49	0.005605381165919282
S2	IGHV3-53	0.013452914798206279
S2	IGHV3-6	0.0011210762331838565
S2	IGHV3-64	0.002242152466367713
S2	IGHV3-66	0.0033632286995515697
S2	IGHV3-7	0.04147982062780269
S2	IGHV3-72	0.0011210762331838565
S2	IGHV3-73	0.0
S2	IGHV3-74	0.011210762331838564
S2	IGHV3-9	0.01233183856502242
S2	IGHV4-28	0.0
S2	IGHV4-30-2	0.005605381165919282
S2	IGHV4-30-4	0.004484304932735426
S2	IGHV4-31	0.021300448430493273
S2	IGHV4-34	0.006726457399103139
S2	IGHV4-38	0.0011210762331838565
S2	IGHV4-38-2	0.0
S2	IGHV4-39	0.023542600896860985
S2	IGHV4-4	0.016816143497757848
S2	IGHV4-59	0.04035874439461883
S2	IGHV4-61	0.008968609865470852
S2	IGHV4/OR15-	0.0011210762331838565
S2	IGHV5-10-1	0.006726457399103139
S2	IGHV5-51	0.02914798206278027
S2	IGHV6-1	0.0011210762331838565
S2	IGHV7-4-1	0.0011210762331838565
RBD	IGHV1-18	0.02937062937062937
RBD	IGHV1-2	0.04115884115884116
RBD	IGHV1-24	0.002797202797202797
RBD	IGHV1-3	0.004395604395604396
RBD	IGHV1-45	0.0
RBD	IGHV1-46	0.04395604395604396
RBD	IGHV1-58	0.017582417582417582
RBD	IGHV1-69	0.07312687312687313
RBD	IGHV1-69-2	0.0011988011988011988
RBD	IGHV1-8	0.013386613386613387
RBD	IGHV2-26	0.0013986013986013986
RBD	IGHV2-5	0.008591408591408592
RBD	IGHV2-70	0.007992007992007992
RBD	IGHV3-11	0.013386613386613387
RBD	IGHV3-13	0.027972027972027972
RBD	IGHV3-15	0.014985014985014986
RBD	IGHV3-20	0.0013986013986013986
RBD	IGHV3-21	0.015984015984015984
RBD	IGHV3-23	0.05034965034965035
RBD	IGHV3-30	0.0957042957042957
RBD	IGHV3-30-3	0.02257742257742258
RBD	IGHV3-33	0.03156843156843157
RBD	IGHV3-4	0.0005994005994005994
RBD	IGHV3-43	0.0025974025974025974
RBD	IGHV3-48	0.015384615384615385
RBD	IGHV3-49	0.00999000999000999
RBD	IGHV3-53	0.11688311688311688
RBD	IGHV3-6	0.009390609390609391
RBD	IGHV3-64	0.0017982017982017982
RBD	IGHV3-66	0.05014985014985015
RBD	IGHV3-7	0.017982017982017984
RBD	IGHV3-72	0.0003996003996003996
RBD	IGHV3-73	0.0013986013986013986
RBD	IGHV3-74	0.006393606393606394
RBD	IGHV3-9	0.04415584415584416
RBD	IGHV4-28	0.0001998001998001998
RBD	IGHV4-30-2	0.0013986013986013986
RBD	IGHV4-30-4	0.004795204795204795
RBD	IGHV4-31	0.025774225774225775
RBD	IGHV4-34	0.01838161838161838
RBD	IGHV4-38	0.0
RBD	IGHV4-38-2	0.0023976023976023976
RBD	IGHV4-39	0.034565434565434566
RBD	IGHV4-4	0.017182817182817185
RBD	IGHV4-59	0.030969030969030968
RBD	IGHV4-61	0.008991008991008992
RBD	IGHV4/OR15-	0.0
RBD	IGHV5-10-1	0.007992007992007992
RBD	IGHV5-51	0.041758241758241756
RBD	IGHV6-1	0.004195804195804196
RBD	IGHV7-4-1	0.005394605394605395
